Rk,Team,Conf,W-L,NetRtg,ORtg,,DRtg,,AdjT,,Luck,,SNetRtg,,SORtg,,SDRtg,,SOSNetRtg,
199,UNC Asheville,BSth,21-11,-3.12,109.1,135,112.2,279,68.2,129,0.123,9,-3.37,243,106.4,179,109.8,309,-0.79,198
200,Ohio,MAC,16-16,-3.12,106.2,190,109.3,227,70.4,44,-0.064,326,-3.8,260,106,195,109.8,312,-1.56,223
201,Central Michigan,MAC,14-17,-3.15,105.4,208,108.6,214,67.3,188,-0.091,351,-2.47,201,106.1,191,108.5,224,11.27,14
202,Indiana St.,MVC,14-18,-3.21,109.1,130,112.3,282,72.3,9,-0.044,293,-0.13,151,106.4,176,106.5,144,-4.16,294
203,Queens,ASun,19-14,-3.27,106.3,188,109.6,230,68.5,113,0.052,66,-3.53,248,105.8,210,109.3,274,0.61,146
204,Southeast Missouri,OVC,21-12,-3.29,101.9,258,105.2,138,69,88,0.023,123,-7.47,329,101.8,338,109.3,269,3.7,75
205,Youngstown St.,Horz,21-13,-3.3,102.2,252,105.5,147,69.3,70,0.058,53,-4.9,287,105.1,246,110,324,-6.11,332
206,Portland St.,BSky,19-13,-3.41,100.6,288,104,114,68.5,111,0.015,137,-4.54,281,105.9,207,110.4,343,-1.2,209
207,Seton Hall,BE,7-25,-3.43,98.8,314,102.2,91,64.6,321,-0.042,290,9.91,53,112.1,50,102.2,54,-2.83,256
208,Quinnipiac,MAAC,20-12,-3.46,101.6,268,105,134,71.9,13,0.039,81,-6.94,316,102.1,330,109.1,259,0.03,169
209,Brown,Ivy,14-13,-3.63,103.2,237,106.8,174,65.8,268,0.022,124,-3.73,256,105.8,213,109.5,288,-5.59,326
210,Northeastern,CAA,17-15,-3.69,103.7,229,107.4,187,67.4,177,0.019,128,-4.08,268,104,290,108.1,204,-3.62,280
211,Idaho St.,BSky,15-15,-3.77,106,196,109.8,235,66.1,247,-0.059,319,-3.78,258,105.5,231,109.3,270,2.05,112
212,Maine,AE,20-13,-3.83,100.8,284,104.6,128,65.9,265,0.002,174,-7.55,334,103.3,301,110.9,355,-3.73,283
213,Valparaiso,MVC,15-19,-3.85,105.9,200,109.8,234,68.1,132,-0.001,183,0.09,144,106.5,167,106.4,139,-4.47,303
214,Longwood,BSth,18-14,-3.88,106,197,109.8,238,69.1,79,0.002,175,-4.16,271,106.3,183,110.5,344,-4.34,300
215,Hampton,CAA,17-16,-4.08,103.8,226,107.9,199,65.6,277,-0.003,187,-2.56,207,106.4,173,109,252,0.28,160
216,Massachusetts,A10,12-20,-4.09,102.4,249,106.5,170,70.4,43,-0.05,306,0.91,128,106.2,187,105.3,110,-3.63,281
217,Pepperdine,WCC,13-22,-4.21,106.4,181,110.7,255,69.2,75,-0.022,246,2.83,100,108.1,109,105.3,108,-4.12,291
218,SIUE,OVC,22-11,-4.3,102,256,106.3,161,66,261,0.052,65,-9.14,356,101.4,351,110.5,346,-3.53,278
219,Abilene Christian,WAC,16-16,-4.45,97.8,327,102.2,90,69.4,68,0.036,89,-1.25,167,104.3,281,105.6,116,0.82,140
220,Hofstra,CAA,15-18,-4.47,98,326,102.5,92,63.7,348,-0.047,297,-3.17,234,105,253,108.2,206,1.87,117
221,Campbell,CAA,15-17,-4.56,101.6,267,106.2,159,65.9,264,-0.058,318,-4.29,273,105.1,248,109.4,279,-4.36,301
222,La Salle,A10,14-19,-4.61,103.8,227,108.4,208,68.7,103,0.046,73,2.22,109,107.5,121,105.3,112,-1.38,217
223,Wright St.,Horz,15-18,-4.69,109.5,121,114.2,316,67.5,168,-0.06,320,-3.45,246,106,196,109.5,285,0.36,156
224,Hawaii,BW,15-16,-4.73,103.2,236,108,201,65.9,262,0.025,117,-0.91,165,106,200,106.9,150,-2.56,246
225,Bucknell,PL,18-15,-4.89,102.8,243,107.7,195,67.3,182,0.009,155,-7.45,327,103.1,307,110.6,349,0.34,158
226,Little Rock,OVC,19-14,-5.03,99.2,305,104.2,120,67,203,0.021,125,-7.81,337,101.7,341,109.5,290,2.1,110
227,UT Arlington,WAC,13-18,-5.05,107.5,157,112.5,292,67.6,161,-0.035,275,-1.45,172,103.8,293,105.3,111,-0.37,185
228,Fordham,A10,12-21,-5.23,106.5,179,111.7,275,69.6,63,-0.003,186,1.73,114,106.6,164,104.9,100,-3.31,274
229,Northwestern St.,Slnd,16-16,-5.23,102.7,244,107.9,200,64.1,337,0.079,30,-0.34,158,106.2,188,106.5,140,11.68,11
230,William & Mary,CAA,17-15,-5.28,107.3,163,112.6,295,71.4,19,0.048,69,-2.82,222,105.4,235,108.2,210,-1.22,211
231,Presbyterian,BSth,14-18,-5.41,104.6,216,110,240,64.2,330,-0.036,276,-2.63,215,107,143,109.6,298,-0.88,201
232,Delaware,CAA,16-20,-5.59,109.4,124,115,325,70.4,42,-0.017,227,-3.01,230,104.6,268,107.7,183,-1.58,224
233,Southern,SWAC,20-12,-5.68,98.9,312,104.6,127,68.6,108,0.053,64,-8.03,343,101.6,345,109.6,293,11.3,13
234,Northern Kentucky,Horz,17-16,-5.71,102.6,246,108.3,207,66.2,243,0.041,79,-2.92,224,106,198,108.9,242,3.28,86
235,Kansas City,Sum,13-20,-5.89,100.4,292,106.3,166,64.6,320,-0.108,358,-2.52,204,107.9,113,110.4,342,0.48,150
236,Manhattan,MAAC,17-13,-5.92,108.5,142,114.4,318,67.5,170,0.006,160,-8.65,352,101.1,355,109.7,307,-5.92,329
237,American,PL,22-12,-5.95,102.1,253,108.1,203,63.6,349,0.133,5,-7.09,318,103.3,302,110.4,341,1.67,123
238,Cal St. Bakersfield,BW,14-19,-6,106.4,182,112.4,287,66.1,251,-0.02,237,-0.7,162,106,194,106.7,148,-2.2,239
239,Richmond,A10,10-22,-6.03,103.1,239,109.1,224,63.8,344,-0.026,255,2.47,104,107.7,115,105.3,109,-2.84,257
240,Toledo,MAC,18-14,-6.09,111.5,93,117.6,350,68.1,133,0.128,7,-2.73,218,105.7,215,108.4,217,3.49,81
241,South Dakota,Sum,19-14,-6.14,109.3,125,115.5,332,74.7,2,0.101,18,-3.37,242,107,144,110.4,338,-4.1,290
242,UMass Lowell,AE,17-15,-6.18,108.7,141,114.9,323,68.7,104,-0.021,244,-7.33,324,101.2,352,108.6,227,-3.65,282
243,Vermont,AE,21-12,-6.21,99.2,306,105.4,141,62.5,358,0.118,12,-7.11,319,103.2,305,110.3,333,-1.09,208
244,UT Rio Grande Valley,Slnd,16-15,-6.22,104.8,211,111,261,70.5,36,0.007,158,-3.6,251,104.2,286,107.8,189,-0.47,188
245,Missouri St.,MVC,9-23,-6.37,101.1,280,107.4,191,63.9,338,-0.104,357,0.83,132,108.6,98,107.8,190,0.03,168
246,UC Davis,BW,15-17,-6.47,97.2,333,103.7,107,67,205,0.07,40,0.5,135,107.6,119,107.1,157,1.84,118
247,Northern Arizona,BSky,18-15,-6.5,104.3,220,110.8,257,67,206,0.004,168,-5.4,293,105.1,247,110.5,347,-4.96,308
248,Incarnate Word,Slnd,17-16,-6.57,106.1,194,112.6,297,64.3,329,-0.018,232,-5.48,294,103,311,108.5,222,-5.2,315
249,Georgia Southern,SB,17-16,-6.99,102.7,245,109.7,232,69.5,65,0.064,44,-5.03,289,104.6,271,109.6,296,-3.06,267
250,Jackson St.,SWAC,15-17,-7.23,101.1,278,108.4,209,68.6,107,0.031,100,-4.32,275,103.9,291,108.2,209,16.27,3
251,Tennessee St.,OVC,17-16,-7.33,102.2,251,109.6,231,70.5,41,-0.068,331,-8.59,350,100.9,359,109.5,289,-0.56,193
252,Siena,MAAC,14-18,-7.48,102.9,241,110.4,247,67.2,189,-0.067,329,-6.89,314,102.7,321,109.6,297,-1.06,206
253,FIU,CUSA,10-23,-7.48,96.8,337,104.3,122,68.4,118,-0.05,307,0.24,140,106.9,148,106.7,147,-6.27,334
254,Fresno St.,MWC,6-26,-7.62,100.9,281,108.6,213,70.6,33,-0.008,201,5.95,83,109.8,83,103.9,82,-2.03,234
255,Harvard,Ivy,12-15,-7.68,101.3,274,109,221,65.6,282,0.054,61,-2.38,198,105.5,227,107.9,194,-2.99,261
256,Mount St. Mary's,MAAC,20-12,-7.72,100.4,293,108.1,204,67.8,144,0.142,2,-7.48,331,102,333,109.5,283,-1.4,218
257,Charlotte,Amer,11-22,-7.74,104.7,214,112.4,284,64.9,304,-0.009,206,-0.28,156,107.3,133,107.6,179,-4.14,293
258,Iona,MAAC,16-16,-7.76,98.5,317,106.3,163,68.6,109,0.009,156,-7.44,326,102.7,322,110.1,329,-3.01,263
259,Colgate,PL,14-19,-7.92,104.7,212,112.6,296,67.3,184,-0.057,317,-5.7,298,103.5,298,109.2,262,2.48,101
260,North Florida,ASun,15-17,-7.93,109.6,118,117.5,349,72.3,10,0.049,68,-2.45,200,106.4,180,108.8,240,6.86,42
261,Evansville,MVC,11-21,-8.01,98.3,321,106.3,165,66.9,208,-0.021,245,0.94,126,108.1,108,107.2,161,0.38,155
262,Sacred Heart,MAAC,15-18,-8.01,104.8,210,112.8,303,70.2,48,-0.049,300,-7.52,332,101.8,337,109.3,275,-2.87,258
263,Gardner Webb,BSth,11-20,-8.06,103.1,238,111.2,264,69.1,80,-0.011,212,-2.26,193,107.4,127,109.7,300,0.13,165
264,Mercer,SC,14-19,-8.07,99.3,304,107.3,185,71.1,22,-0.014,219,-2.59,212,106.2,186,108.8,238,-1.81,228
265,North Dakota,Sum,12-21,-8.2,107.7,152,115.9,337,69.1,81,-0.02,239,-0.68,160,108.1,111,108.8,237,2.54,98
266,Georgia St.,SB,14-19,-8.22,106.5,178,114.7,321,69,84,0.013,139,-3.43,245,105.1,250,108.5,221,-1.83,229
267,Tulsa,Amer,13-19,-8.43,101.3,273,109.8,236,66.2,241,-0.045,294,-2.04,185,106.4,177,108.4,216,-9.65,358
268,Monmouth,CAA,13-20,-8.58,103.9,224,112.5,289,67.1,195,0.028,108,-1.92,181,105.5,232,107.4,168,2.14,109
269,Portland,WCC,12-20,-8.85,105.8,203,114.7,320,68.4,119,0.033,93,1.47,115,107.7,116,106.3,136,-4.05,287
270,Albany,AE,17-16,-9.04,103.3,235,112.3,281,67.6,163,0.018,130,-7.46,328,102.6,326,110.1,325,-4.6,306
271,Navy,PL,15-19,-9.11,102.4,250,111.5,271,67.1,199,-0.04,285,-8.03,342,101.9,335,109.9,317,-6.37,336
272,Marist,MAAC,20-10,-9.14,97.1,334,106.3,164,64.1,333,0.107,15,-10.44,362,100.6,361,111,358,-11.69,364
273,Austin Peay,ASun,14-19,-9.25,101.9,261,111.1,263,66.2,242,0.025,119,-1.97,182,107.8,114,109.8,311,4.7,58
274,Ball St.,MAC,14-17,-9.37,103.5,232,112.9,305,66.4,227,-0.056,316,-6.51,308,104.1,288,110.6,351,-6.72,341
275,Idaho,BSky,14-19,-9.44,107.3,164,116.8,345,66.4,231,0.032,98,-2.7,216,105.4,236,108.1,201,1.7,122
276,Alabama St.,SWAC,17-15,-9.51,102,255,111.5,270,68.1,135,0.026,111,-8.61,351,101,356,109.6,292,6.14,45
277,Stephen F. Austin,Slnd,14-17,-9.56,95.1,348,104.7,129,67.5,169,0.055,58,-2.81,221,104.5,277,107.3,163,0.79,142
278,Houston Christian,Slnd,12-20,-9.56,100.6,287,110.2,243,64.9,309,-0.006,191,-2.73,219,104.6,269,107.3,165,5.07,52
279,Columbia,Ivy,12-15,-9.56,106.4,185,116,339,70.7,29,-0.017,230,-5.12,290,104.6,272,109.7,299,-10.72,361
280,Texas Southern,SWAC,15-17,-9.64,96.5,339,106.2,157,70,53,-0.049,301,-7.4,325,101.9,336,109.3,268,12.63,9
281,Bethune Cookman,SWAC,17-15,-9.7,98.2,325,107.9,198,69.2,76,0.121,11,-5.8,300,102.8,318,108.6,232,8.8,23
282,Eastern Michigan,MAC,16-16,-9.77,104.3,219,114.1,314,67.3,187,0.115,13,-4.51,280,105.2,245,109.7,305,-3.35,275
283,Lehigh,PL,11-19,-10.17,100.7,286,110.9,259,67.4,181,-0.097,355,-6.35,305,103.1,309,109.4,282,3.29,85
284,Pacific,WCC,9-24,-10.22,101.5,270,111.7,277,66.5,223,-0.033,271,2.42,107,108.6,99,106.2,132,-0.09,176
285,Old Dominion,SB,15-20,-10.33,100.2,296,110.5,252,66.1,248,0.033,94,-4.04,267,105,256,109,254,-2.63,248
286,LIU,NEC,17-16,-10.39,94.9,352,105.3,140,64.9,308,-0.003,185,-10.83,363,101,358,111.8,363,-2.77,254
287,Tarleton St.,WAC,12-20,-10.41,93.1,359,103.5,106,65.6,283,0.025,113,1.35,118,106.3,182,105,102,7.06,38
288,VMI,SC,15-19,-10.55,100.3,294,110.9,258,68.2,128,0.027,109,-2.59,211,106.4,178,109,249,-2.35,240
289,Lafayette,PL,13-20,-10.65,98.2,324,108.8,217,66.2,239,-0.077,344,-8.3,348,102.9,316,111.2,359,-5.24,316
290,Bowling Green,MAC,14-18,-10.91,99,311,109.9,239,68.8,97,0.004,165,-6.64,311,104.2,284,110.9,356,-6.75,342
291,Eastern Washington,BSky,10-22,-10.94,101.9,263,112.8,302,67,207,0.002,176,-1.13,166,107.2,138,108.3,214,6.51,44
292,Penn,Ivy,8-19,-10.98,104,223,115,324,66.9,209,-0.011,214,-1.48,173,106,197,107.5,172,-1.56,222
293,Tennessee Martin,OVC,14-19,-10.98,101.8,266,112.8,301,66.3,233,-0.042,287,-7.47,330,101.5,346,109,257,2.51,100
294,Western Michigan,MAC,12-20,-11,101.4,271,112.4,286,67.9,141,-0.008,202,-3.85,263,105.5,228,109.4,278,-0.07,174
295,Southern Utah,WAC,12-19,-11.13,98.3,322,109.4,228,69,87,0.032,96,-1.38,170,104.7,266,106.1,129,0.28,161
296,San Diego,WCC,6-27,-11.25,99.5,301,110.7,256,71.1,21,-0.074,340,0.88,129,107.5,124,106.6,145,-4.25,298
297,Southern Miss,SB,11-22,-11.38,97.6,331,109,220,70.9,26,-0.007,200,-2.58,210,105.1,249,107.7,184,0.04,167
298,UMBC,AE,13-19,-11.4,106.5,177,117.9,355,70.5,37,-0.072,337,-7.54,333,101.7,343,109.2,264,-5.55,322
299,Saint Peter's,MAAC,12-16,-11.42,95,351,106.4,168,63.9,341,0.007,159,-7.21,320,103.3,304,110.5,345,-0.08,175
300,Weber St.,BSky,12-22,-11.45,101.3,275,112.7,299,65.7,275,-0.011,215,-2.47,202,106.3,181,108.8,239,2.83,93
301,Utah Tech,WAC,7-26,-11.76,101.9,262,113.6,310,67.5,172,-0.062,321,-0.06,150,105.1,251,105.1,105,3.45,82
302,Charleston Southern,BSth,10-22,-12,99.7,299,111.7,276,67.4,178,0.04,80,-0.17,152,108.5,101,108.7,233,4.43,61
303,Long Beach St.,BW,7-25,-12.04,101.9,257,114,312,64.1,334,-0.071,335,1.02,123,106.9,152,105.9,125,2.1,111
304,Boston University,PL,16-16,-12.24,99.1,307,111.3,267,63.2,352,0.061,49,-8.38,349,102.2,329,110.5,348,-5.78,328
305,Tennessee Tech,OVC,15-17,-12.29,100.9,283,113.2,306,67.8,147,0.045,75,-7.91,339,101.5,347,109.4,280,0.7,143
306,Loyola MD,PL,12-19,-12.36,100.5,289,112.9,304,66.6,217,-0.03,268,-8.25,347,101.9,334,110.2,331,-5.56,323
307,Fairleigh Dickinson,NEC,13-20,-12.51,98.4,319,110.9,260,69.2,72,-0.073,338,-7.99,341,102,332,110,320,2.56,97
308,Delaware St.,MEAC,16-14,-12.54,101.5,269,114.1,313,70.3,45,0.054,62,-8.66,353,102.8,319,111.5,362,-1.38,216
309,Denver,Sum,11-21,-12.54,98.8,316,111.3,266,66.5,225,0.005,164,-1.69,177,108.3,105,110,319,-0.43,186
310,Air Force,MWC,4-28,-12.55,99,310,111.5,272,64.5,325,-0.085,348,4.98,91,109.3,90,104.3,92,-4.28,299
311,Saint Francis,NEC,16-17,-12.79,99.7,300,112.5,290,67,202,0.074,36,-6.88,313,101.6,344,108.5,219,7.77,32
312,Rider,MAAC,14-19,-13.27,101.8,264,115.1,326,64.8,312,0.074,37,-6.51,307,102.7,323,109.2,263,0.17,162
313,Howard,MEAC,12-20,-13.27,103.4,234,116.7,344,70,50,0,181,-6.84,312,103.4,299,110.3,332,1.89,116
314,Eastern Illinois,OVC,12-19,-13.37,93.6,357,106.9,176,66.3,237,0.003,170,-5.79,299,102.9,315,108.7,236,11.33,12
315,IU Indy,Horz,10-22,-13.4,109.5,119,122.9,363,64.9,307,-0.073,339,-3.71,255,104.5,273,108.3,211,-3.3,273
316,Louisiana,SB,12-21,-13.52,97.8,328,111.3,265,66.3,234,0.085,28,-2.57,209,104.8,262,107.4,167,1.19,131
317,Florida A&M,SWAC,14-17,-13.78,101.4,272,115.2,328,67.2,191,0.063,45,-6.31,302,101.7,340,108,196,19.51,1
318,North Carolina Central,MEAC,14-18,-13.8,102.9,242,116.7,343,66.8,213,0.012,144,-7.25,322,103.5,296,110.8,353,-0.52,190
319,Binghamton,AE,15-17,-13.86,98.9,313,112.7,300,65.8,270,0.056,56,-7.59,335,102.8,320,110.4,339,-5.58,324
320,Holy Cross,PL,13-19,-13.86,101.9,259,115.8,335,66.1,250,0.038,83,-6.31,304,102.7,324,109,251,-0.5,189
321,Grambling St.,SWAC,12-21,-13.98,95.2,346,109.2,226,63.9,342,-0.064,325,-8.16,345,101.4,349,109.6,294,10.67,16
322,Niagara,MAAC,11-20,-14.13,101.1,277,115.3,330,65.1,296,-0.022,248,-8.17,346,101.2,354,109.4,277,-5.27,317
323,Stonehill,NEC,15-17,-14.21,100.9,282,115.1,327,65.1,301,0.031,102,-9.73,359,100.4,362,110.1,328,-3.04,265
324,Army,PL,16-15,-14.48,99.9,297,114.4,317,67.7,158,0.132,6,-7.82,338,103,314,110.8,352,-5.08,311
325,Alcorn St.,SWAC,11-21,-14.63,97.5,332,112.2,278,64.8,315,-0.01,210,-4.94,288,103.4,300,108.3,215,13.1,7
326,Lindenwood,OVC,16-17,-14.77,94.1,354,108.9,219,69.7,59,0.108,14,-7.63,336,102.4,327,110.1,326,4.66,60
327,Morehead St.,OVC,15-17,-14.81,97.7,330,112.5,291,64.1,336,0.079,31,-7.06,317,101.5,348,108.5,225,4.81,55
328,Oral Roberts,Sum,7-23,-14.9,102.9,240,117.8,354,67.3,183,-0.006,196,0.15,142,108.7,97,108.5,226,7.32,34
329,Coastal Carolina,SB,10-22,-15.04,100.5,290,115.5,333,63.3,350,-0.048,299,-5.15,291,103.7,294,108.9,243,-6.19,333
330,East Texas A&M,Slnd,5-26,-15.07,96.6,338,111.6,274,67.4,179,-0.027,260,-1.32,168,105.6,221,107,153,4.74,57
331,Stony Brook,CAA,8-24,-15.72,101.9,260,117.6,351,64.5,324,-0.017,231,-3.25,237,104.9,261,108.1,202,-1.08,207
332,Morgan St.,MEAC,14-17,-15.81,102.6,248,118.4,357,70.6,31,0.025,112,-9.28,357,102,331,111.3,361,-4.07,289
333,Fairfield,MAAC,12-20,-15.93,98.2,323,114.2,315,66.1,252,0.07,41,-6.5,306,102.4,328,108.9,244,-3.05,266
334,Green Bay,Horz,4-28,-16.1,100.7,285,116.8,347,69,85,-0.05,308,-1.35,169,106.5,168,107.9,193,3.64,76
335,North Carolina A&T,CAA,7-25,-16.36,97.1,335,113.4,308,69.1,78,0,179,-3.09,232,105,255,108.1,197,-1.28,213
336,Southern Indiana,OVC,10-20,-16.54,98.3,320,114.8,322,67.1,201,-0.027,262,-7.94,340,101.8,339,109.7,303,-2.42,243
337,Detroit Mercy,Horz,8-24,-17.05,95.1,347,112.2,280,67.1,198,0.028,107,-2.22,191,106.8,157,109,255,1.12,133
338,Western Carolina,SC,8-22,-17.13,95.3,345,112.4,285,70.5,40,0.011,151,-0.05,149,107.4,129,107.4,170,7.16,35
339,USC Upstate,BSth,6-26,-17.54,98.4,318,116,338,72.8,5,-0.021,242,-0.88,164,107.3,132,108.2,208,2.45,103
340,Buffalo,MAC,9-22,-17.64,96.3,340,114,311,70.8,28,0.028,105,-3.3,239,105.8,208,109.1,261,0.5,149
341,Bellarmine,ASun,5-26,-17.67,103.8,225,121.5,360,66.3,235,-0.109,359,-3.89,264,105.3,240,109.2,266,-1.36,215
342,Mercyhurst,NEC,15-16,-17.81,98.8,315,116.6,342,64.8,314,0.099,20,-9.31,358,100.7,360,110,322,-1.64,227
343,Sacramento St.,BSky,7-25,-17.93,95.4,344,113.3,307,65.6,279,-0.02,240,-3.62,252,105.7,216,109.3,272,-0.95,203
344,Wagner,NEC,14-16,-18.1,92.2,360,110.3,246,60.4,363,0.061,50,-10.42,361,99.9,364,110.3,337,-2.13,237
345,Central Arkansas,ASun,9-24,-18.15,97.7,329,115.9,336,66.4,226,0.036,90,-2.62,214,106.5,170,109.1,260,2.28,107
346,Northern Illinois,MAC,6-25,-18.19,94.4,353,112.6,293,68.9,91,-0.091,352,-3.64,253,105.6,225,109.2,265,-0.74,196
347,Western Illinois,OVC,12-19,-18.21,99.1,308,117.3,348,64.4,327,0.037,87,-8.09,344,101.4,350,109.5,284,-2.56,247
348,West Georgia,ASun,6-25,-18.3,96.9,336,115.2,329,68.1,134,0.012,141,-2.37,197,106.6,162,109,256,2,113
349,Cal St. Fullerton,BW,6-26,-18.34,94,355,112.3,283,68.2,131,-0.02,241,2.14,111,107.5,122,105.4,114,4.68,59
350,New Orleans,Slnd,4-27,-18.35,99.4,303,117.7,353,69.3,71,-0.016,226,0.85,131,106.7,161,105.8,123,10.53,17
351,Louisiana Monroe,SB,7-25,-18.39,96.1,341,114.5,319,67.8,149,-0.028,263,-3.76,257,104.4,279,108.2,207,-3.87,286
352,Stetson,ASun,8-24,-19.28,99.5,302,118.7,358,67.7,154,-0.015,222,-4.4,276,105.8,211,110.2,330,0.16,163
353,NJIT,AE,6-25,-20.29,93.2,358,113.5,309,66.6,220,-0.054,314,-6.59,309,103.1,308,109.7,304,-4.07,288
354,Le Moyne,NEC,9-23,-20.62,101.2,276,121.9,361,68.7,106,0.004,166,-7.3,323,101.7,342,109,248,0.46,151
355,New Hampshire,AE,8-24,-21.54,93.9,356,115.4,331,67.4,176,0.019,129,-6.04,301,103.7,295,109.8,310,-3.36,276
356,The Citadel,SC,5-25,-21.8,95,350,116.8,346,64.7,318,-0.134,363,-3.35,241,105.6,223,109,247,-7.52,345
357,Prairie View A&M,SWAC,5-27,-22.2,95.5,343,117.7,352,70.3,47,-0.062,323,-5.62,297,103,313,108.6,230,10.85,15
358,Maryland Eastern Shore,MEAC,6-25,-22.68,95.6,342,118.3,356,65.6,276,-0.113,360,-3.17,235,105.5,229,108.7,234,9.71,20
359,Canisius,MAAC,3-28,-22.95,99,309,122,362,66.2,240,-0.078,345,-4.85,286,102.9,317,107.7,186,3.81,73
360,Alabama A&M,SWAC,10-22,-23.56,92,361,115.5,334,71.1,24,-0.022,247,-9.83,360,101.2,353,111,357,1.56,125
361,Chicago St.,NEC,4-28,-24.32,91.9,362,116.2,341,68.4,121,-0.024,252,-3.29,238,104.3,282,107.6,178,8.58,27
362,Coppin St.,MEAC,6-24,-24.37,87.2,363,111.6,273,67.8,146,0.033,95,-4.46,279,105.4,237,109.8,314,4.19,66
363,Arkansas Pine Bluff,SWAC,6-25,-26.14,95,349,121.1,359,71.5,18,-0.074,342,-8.77,355,101,357,109.7,306,7.04,41
364,Mississippi Valley St.,SWAC,3-28,-42.27,82.5,364,124.8,364,64.9,311,-0.016,223,-3.58,250,103.9,292,107.4,169,18.63,2
