Rk,Team,Conf,W-L,NetRtg,ORtg,,DRtg,,AdjT,,Luck,,SNetRtg,,SORtg,,SDRtg,,SOSNetRtg,
46,San Diego St.,MWC,21-9,16.26,109.8,112,93.6,12,66.1,246,0.01,154,8.71,61,111.2,68,102.5,60,12.88,8
47,Indiana,B10,19-13,16.25,113.7,67,97.5,38,68,139,0.024,120,13.28,24,114.4,17,101.1,38,1.11,135
48,Vanderbilt,SEC,20-12,16.21,118.1,31,101.9,84,69.6,64,0.025,114,12.96,28,113.7,29,100.7,28,-6.97,343
49,SMU,ACC,23-10,16.19,116.6,38,100.5,66,68.6,110,0.011,149,5.96,82,110.3,79,104.3,93,-3.86,285
50,Colorado St.,MWC,23-9,16.08,115.8,49,99.7,57,66.2,244,0.02,126,5.18,90,108.9,93,103.7,77,1.52,126
51,Memphis,Amer,26-5,15.94,113.8,65,97.9,42,70.5,38,0.079,32,6.23,79,111.2,65,104.9,101,15.69,4
52,Utah St.,MWC,26-6,15.75,121,16,105.2,139,67.6,162,0.098,21,5.21,89,108.5,102,103.2,73,0.93,139
53,West Virginia,B12,19-13,15.12,109.1,133,94,14,64.3,328,0.023,122,13.15,26,113.1,39,99.9,14,1.04,137
54,Nebraska,B10,17-14,14.85,113.3,71,98.4,46,67.5,175,-0.01,208,12.15,40,113.7,28,101.5,50,-2.95,259
55,Cincinnati,B12,18-15,14.84,110.6,100,95.7,22,65.6,281,-0.049,302,11.4,47,112.4,47,101,35,-5.04,309
56,Villanova,BE,19-14,14.23,118.3,29,104.1,116,63.1,354,-0.072,336,7.66,69,110.5,77,102.8,63,-6.29,335
57,Santa Clara,WCC,20-12,14.19,116,48,101.8,81,69,89,-0.051,311,4.17,96,109.5,87,105.4,113,3.75,74
58,Drake,MVC,30-3,14.17,112.7,75,98.5,47,58.9,364,0.004,167,-0.49,159,107.3,135,107.8,188,-2.64,249
59,McNeese,Slnd,27-6,13.71,114.4,62,100.7,69,65.5,284,-0.023,250,-2.49,203,104.7,265,107.2,160,8.77,25
60,Penn St.,B10,16-15,13.69,114.8,61,101.1,73,70,52,-0.093,354,9.32,57,112,54,102.6,61,-10.62,359
61,Pittsburgh,ACC,17-15,13.59,115.7,51,102.1,86,66.3,232,-0.068,332,8.64,63,111.9,56,103.2,72,3.64,77
62,Liberty,CUSA,26-6,13.5,111.2,96,97.7,41,65.6,278,-0.011,213,0.16,141,105.8,212,105.6,117,-2.82,255
63,USC,B10,16-17,13.06,116.8,37,103.7,109,68.3,123,-0.043,291,12.2,39,113.4,36,101.2,41,-2.06,235
64,Iowa,B10,17-16,12.89,119.7,18,106.8,173,69.7,60,-0.037,280,12.32,37,113.7,30,101.3,46,-8.42,350
65,San Francisco,WCC,24-9,12.78,111.8,89,99,50,67.8,145,0.053,63,3.83,98,109.7,85,105.8,124,-0.76,197
66,UC Irvine,BW,27-5,12.55,107,170,94.5,16,68.9,90,0.061,51,0.26,138,106.9,151,106.6,146,4.13,67
67,Kansas St.,B12,16-17,12.19,109.5,122,97.3,37,67.1,197,-0.037,279,12.8,30,112.4,46,99.6,11,-1.2,210
68,North Texas,Amer,23-7,11.74,110,110,98.2,44,60.6,362,-0.016,224,1.09,122,108.5,100,107.4,171,1.76,121
69,UCF,B12,17-16,11.61,115.5,52,103.9,111,72,11,0.025,116,11.98,41,111.7,58,99.7,12,-1.02,205
70,South Carolina,SEC,12-20,11.45,110.5,101,99.1,51,65.4,288,-0.088,349,14.4,15,114.8,10,100.4,23,-2.07,236
71,Yale,Ivy,20-7,11.31,115.3,57,104,113,67.7,155,-0.065,327,-2.93,226,106,192,109,250,-0.81,199
72,Dayton,A10,22-9,11.3,116.4,41,105.1,136,66,259,0.047,72,4.63,94,108.4,103,103.7,79,4.79,56
73,Arizona St.,B12,13-19,11.25,112.6,76,101.4,75,68.5,114,-0.019,235,15.56,6,114.5,16,99,3,8.25,30
74,Wake Forest,ACC,21-11,11.13,108.2,147,97.1,33,67.2,192,0.088,26,8.39,66,111.3,64,102.9,64,-2.42,242
75,Rutgers,B10,15-17,10.74,115.1,59,104.4,123,68.8,99,-0.012,218,13.2,25,113.6,32,100.4,21,-2.35,241
76,Utah,B12,16-16,10.65,112.4,80,101.8,82,68.9,92,-0.05,304,10.58,50,112.1,49,101.5,51,-9.45,356
77,Butler,BE,14-19,10.5,116.1,46,105.6,150,67.5,165,-0.077,343,11.3,48,112.2,48,100.9,30,2.97,91
78,Saint Joseph's,A10,21-11,10.36,111.7,91,101.3,74,67.9,142,-0.066,328,0.25,139,106.3,184,106.1,127,-4.23,296
79,Nevada,MWC,17-16,9.91,112.8,73,102.9,96,63.9,343,-0.093,353,5.32,88,109.1,91,103.7,78,1.91,114
80,Colorado,B12,14-20,9.51,108.8,139,99.3,52,67.8,150,-0.042,288,13.38,23,113.1,38,99.7,13,-1.53,221
81,Stanford,ACC,20-13,9.51,112.2,83,102.7,95,66.1,245,0.043,76,6.02,81,109.8,84,103.8,80,-3.79,284
82,Lipscomb,ASun,25-9,9.5,112.7,74,103.2,99,66,258,-0.028,266,-4.62,283,105.7,214,110.3,335,3.88,70
83,Oregon St.,WCC,20-12,9.37,116.3,44,107,177,63.8,345,-0.029,267,0.93,127,107.1,140,106.2,133,-4.44,302
84,High Point,BSth,29-5,9.29,118.4,27,109.1,223,66.5,224,0.011,148,-5.57,295,104.5,278,110,323,-5.99,330
85,George Mason,A10,24-7,8.93,104.6,217,95.6,21,64.5,322,0.09,25,-0.02,147,107,141,107.1,155,-5.62,327
86,TCU,B12,16-16,8.79,105.8,202,97.1,34,66.6,216,0.03,103,13.01,27,113.5,33,100.5,24,2.52,99
87,Georgetown,BE,17-15,8.78,108.3,144,99.6,54,68.3,122,-0.037,277,6.26,78,109.9,82,103.6,75,-11.65,363
88,LSU,SEC,14-18,8.65,109.1,134,100.4,63,68,138,-0.062,322,13.86,17,114.4,18,100.5,25,-7.06,344
89,Minnesota,B10,15-17,8.48,110.1,107,101.7,79,62.7,357,0.025,115,11.58,45,113,40,101.5,49,-6.02,331
90,Florida St.,ACC,17-15,8.37,108.8,140,100.4,65,69.6,61,-0.007,198,6.35,77,110.3,78,104,83,-2.65,250
91,Arkansas St.,SB,24-10,7.89,110.1,108,102.2,89,69.9,55,-0.037,281,-2.57,208,105,254,107.6,177,0.54,148
92,UNLV,MWC,18-15,7.53,107.6,155,100.1,62,65.8,271,0.01,153,6.04,80,110,80,104,85,3.87,71
93,Georgia Tech,ACC,17-16,7.16,107.7,151,100.6,67,68.7,102,0.001,177,6.44,76,110.6,75,104.2,88,-7.99,347
94,Bradley,MVC,26-8,7.12,111.5,92,104.4,125,65.7,274,0.097,22,0.12,143,107.7,117,107.5,176,-2.98,260
95,Notre Dame,ACC,15-18,7.02,111.3,95,104.3,121,64.8,313,-0.046,295,7.5,71,111.2,67,103.7,76,-0.25,180
96,Providence,BE,12-20,6.99,112.2,84,105.2,137,66.4,230,-0.097,356,9.73,55,112,53,102.2,56,-0.31,183
97,Troy,SB,23-10,6.82,107.7,153,100.9,72,66.4,229,-0.009,205,-2.99,228,105.3,241,108.3,213,1.1,136
98,Grand Canyon,WAC,24-7,6.72,106.6,176,99.9,61,71.8,14,0.012,147,-3.91,265,103,312,106.9,151,-3.2,270
99,Akron,MAC,26-6,6.59,112.6,77,106,153,72,12,0.062,47,-4.62,282,104.4,280,109,258,1.41,128
100,Oklahoma St.,B12,15-17,6.37,107.8,150,101.4,76,71.6,16,0.074,38,11.82,43,112.8,44,101,36,-3.02,264
101,St. Bonaventure,A10,22-10,5.99,106.4,184,100.4,64,64.4,326,0.042,77,0.82,133,107.3,130,106.5,142,-4.24,297
102,Northern Iowa,MVC,20-12,5.86,109.9,111,104.1,117,65.1,298,-0.006,192,0.05,145,107.2,139,107.1,158,-1.29,214
103,Saint Louis,A10,19-13,5.57,109.5,120,104,112,67.5,167,-0.001,182,3.37,99,108.2,106,104.9,99,-0.45,187
104,Virginia,ACC,15-17,5.26,110.7,99,105.4,144,61.3,361,0.016,135,8.67,62,111.1,69,102.4,59,0.97,138
105,George Washington,A10,21-11,5.22,107.9,148,102.7,94,66.9,210,-0.026,257,-2.53,206,104.5,274,107.1,156,-11.43,362
106,UNC Wilmington,CAA,27-7,5.17,112.4,82,107.2,181,65.5,286,0.055,57,-4.64,284,104.9,258,109.5,291,-5.06,310
